"location","activity","date","change","value","source","roll"
"Greater London","Retail & Rec",2020-08-21,-43,57,"Google",89.1428571428571
"Greater London","Parks",2020-08-21,13,113,"Google",95.4285714285714
"Greater London","Retail & Rec",2020-08-22,-45,55,"Google",84
"Greater London","Parks",2020-08-22,12,112,"Google",91.1428571428571
"Greater London","Retail & Rec",2020-08-23,-41,59,"Google",88.4285714285714
"Greater London","Parks",2020-08-23,27,127,"Google",97.7142857142857
"Greater London","Retail & Rec",2020-08-24,-26,74,"Google",85.2857142857143
"Greater London","Parks",2020-08-24,33,133,"Google",96.1428571428571
"Greater London","Retail & Rec",2020-08-25,-31,69,"Google",89.8571428571429
"Greater London","Parks",2020-08-25,-3,97,"Google",95.8571428571429
"Greater London","Retail & Rec",2020-08-26,-25,75,"Google",90.5714285714286
"Greater London","Parks",2020-08-26,39,139,"Google",102
"Greater London","Retail & Rec",2020-08-27,-40,60,"Google",92.4285714285714
"Greater London","Parks",2020-08-27,-2,98,"Google",95.8571428571429
"Greater London","Retail & Rec",2020-08-28,-39,61,"Google",85.5714285714286
"Greater London","Parks",2020-08-28,-1,99,"Google",89.8571428571429
"Greater London","Retail & Rec",2020-08-29,-43,57,"Google",84.1428571428571
"Greater London","Parks",2020-08-29,-18,82,"Google",85.1428571428571
"Greater London","Retail & Rec",2020-08-30,-35,65,"Google",74.5714285714286
"Greater London","Parks",2020-08-30,22,122,"Google",83.4285714285714
"Greater London","Retail & Rec",2020-08-31,-18,82,"Google",81.1428571428571
"Greater London","Parks",2020-08-31,68,168,"Google",96.4285714285714
"Greater London","Retail & Rec",2020-09-01,-34,66,"Google",91.7142857142857
"Greater London","Parks",2020-09-01,41,141,"Google",103.714285714286
"Greater London","Retail & Rec",2020-09-02,-37,63,"Google",101
"Greater London","Parks",2020-09-02,19,119,"Google",108.714285714286
"Greater London","Retail & Rec",2020-09-03,-38,62,"Google",100.142857142857
"Greater London","Parks",2020-09-03,10,110,"Google",104.142857142857
"Greater London","Retail & Rec",2020-09-04,-38,62,"Google",89
"Greater London","Parks",2020-09-04,17,117,"Google",96.2857142857143
"Greater London","Retail & Rec",2020-09-05,-38,62,"Google",85
"Greater London","Parks",2020-09-05,13,113,"Google",92.1428571428571
"Greater London","Retail & Rec",2020-09-06,-34,66,"Google",84.5714285714286
"Greater London","Parks",2020-09-06,39,139,"Google",95.5714285714286
"Greater London","Retail & Rec",2020-09-07,-32,68,"Google",89.5714285714286
"Greater London","Parks",2020-09-07,34,134,"Google",99.8571428571429
"Greater London","Retail & Rec",2020-09-08,-35,65,"Google",92.4285714285714
"Greater London","Parks",2020-09-08,36,136,"Google",103
"Greater London","Retail & Rec",2020-09-09,-37,63,"Google",95.8571428571429
"Greater London","Parks",2020-09-09,31,131,"Google",105.142857142857
"Greater London","Retail & Rec",2020-09-10,-35,65,"Google",94.5714285714286
"Greater London","Parks",2020-09-10,42,142,"Google",105.142857142857
"Greater London","Retail & Rec",2020-09-11,-36,64,"Google",95.1428571428571
"Greater London","Parks",2020-09-11,27,127,"Google",104
"Greater London","Retail & Rec",2020-09-12,-38,62,"Google",93.4285714285714
"Greater London","Parks",2020-09-12,19,119,"Google",101.428571428571
"Greater London","Retail & Rec",2020-09-13,-34,66,"Google",92.1428571428571
"Greater London","Parks",2020-09-13,62,162,"Google",106
"Greater London","Retail & Rec",2020-09-14,-32,68,"Google",95.4285714285714
