"merged_age_range","date","total"
"25 to 64",2020-05-25,0.0873708589110723
"25 to 64",2020-05-26,0.120662060425763
"25 to 64",2020-05-27,0.125274723863179
"25 to 64",2020-05-28,0.120857626565653
"25 to 64",2020-05-29,0.121930992448385
"25 to 64",2020-05-30,0.0984270894748808
"25 to 64",2020-05-31,0.087311289914439
"25 to 64",2020-06-01,0.136519776906882
"25 to 64",2020-06-02,0.132288130259252
"25 to 64",2020-06-03,0.128881458017826
"25 to 64",2020-06-04,0.131087758779924
"25 to 64",2020-06-05,0.134438233854715
"25 to 64",2020-06-06,0.0859187241252188
"25 to 64",2020-06-07,0.0859176001818861
"25 to 64",2020-06-08,0.142772273666714
"25 to 64",2020-06-09,0.153329473390802
"25 to 64",2020-06-10,0.137150309116529
"25 to 64",2020-06-11,0.145369706708593
"25 to 64",2020-06-12,0.138294483429222
"25 to 64",2020-06-13,0.0929276347479605
"25 to 64",2020-06-14,0.0823794265705342
"25 to 64",2020-06-15,0.154087011197045
"25 to 64",2020-06-16,0.156046044425948
"25 to 64",2020-06-17,0.152063913198178
"25 to 64",2020-06-18,0.150045310972641
"25 to 64",2020-06-19,0.149089959139843
"25 to 64",2020-06-20,0.101585370239779
"25 to 64",2020-06-21,0.0945067751304095
"25 to 64",2020-06-22,0.17278605642324
"25 to 64",2020-06-23,0.165715328917199
"25 to 64",2020-06-24,0.163117895875321
"25 to 64",2020-06-25,0.160024803823719
"25 to 64",2020-06-26,0.153200219907541
"25 to 64",2020-06-27,0.106634123690285
"25 to 64",2020-06-28,0.0906550213292332
"25 to 64",2020-06-29,0.164952171394293
"25 to 64",2020-06-30,0.164260946244681
"25 to 64",2020-07-01,0.176014021674765
"25 to 64",2020-07-02,0.170386437407917
"25 to 64",2020-07-03,0.179418446029526
"25 to 64",2020-07-04,0.209997572282401
"25 to 64",2020-07-05,0.171209163927456
"25 to 64",2020-07-06,0.218648564114223
"25 to 64",2020-07-07,0.227248978496074
"25 to 64",2020-07-08,0.233062013412819
"25 to 64",2020-07-09,0.249166997427133
"25 to 64",2020-07-10,0.267234386500349
"25 to 64",2020-07-11,0.235205373348285
"25 to 64",2020-07-12,0.18087507658871
"25 to 64",2020-07-13,0.231796453220194
"25 to 64",2020-07-14,0.253406511678092
"25 to 64",2020-07-15,0.258772217148421
"25 to 64",2020-07-16,0.266354338870842
"25 to 64",2020-07-17,0.286001992269839
"25 to 64",2020-07-18,0.245700756189074
"25 to 64",2020-07-19,0.196727173353166
"25 to 64",2020-07-20,0.294973307951482
"25 to 64",2020-07-21,0.297376298796803
"25 to 64",2020-07-22,0.332687226480362
"25 to 64",2020-07-23,0.337934917900756
"25 to 64",2020-07-24,0.361310691334333
"25 to 64",2020-07-25,0.339575875166504
"25 to 64",2020-07-26,0.291939784896514
"25 to 64",2020-07-27,0.292062294719778
"25 to 64",2020-07-28,0.338378875517174
"25 to 64",2020-07-29,0.346837673039104
"25 to 64",2020-07-30,0.362382933273732
"25 to 64",2020-07-31,0.387781804706176
"25 to 64",2020-08-01,0.296296189254074
"25 to 64",2020-08-02,0.287256313029136
"25 to 64",2020-08-03,0.297942766236485
"25 to 64",2020-08-04,0.375019428163322
"25 to 64",2020-08-05,0.392705800446751
"25 to 64",2020-08-06,0.363329293559869
"25 to 64",2020-08-07,0.400233972889202
"25 to 64",2020-08-08,0.359038077915605
"25 to 64",2020-08-09,0.290421337454031
"25 to 64",2020-08-10,0.385947529187203
"25 to 64",2020-08-11,0.422657766319978
"25 to 64",2020-08-12,0.450838397500864
"25 to 64",2020-08-13,0.387662666712909
"25 to 64",2020-08-14,0.433651056057155
"25 to 64",2020-08-15,0.416587348380044
"25 to 64",2020-08-16,0.331679049310926
"25 to 64",2020-08-17,0.427455880407291
"25 to 64",2020-08-18,0.458289017853358
"25 to 64",2020-08-19,0.478695333001931
"25 to 64",2020-08-20,0.41191736383266
"25 to 64",2020-08-21,0.456392925451087
"25 to 64",2020-08-22,0.422530760723383
"25 to 64",2020-08-23,0.344312172370518
"25 to 64",2020-08-24,0.461703557698113
"25 to 64",2020-08-25,0.488551192086411
"25 to 64",2020-08-26,0.521846889374432
"25 to 64",2020-08-27,0.417217880589691
"25 to 64",2020-08-28,0.502705010475152
"25 to 64",2020-08-29,0.475974266193454
"25 to 64",2020-08-30,0.408889460494355
"25 to 64",2020-08-31,0.498856628503974
"25 to 64",2020-09-01,0.409135604084217
"25 to 64",2020-09-02,0.432699076054355
"25 to 64",2020-09-03,0.450960907324129
"25 to 64",2020-09-04,0.506311744629799
"25 to 64",2020-09-05,0.480716183114132
"25 to 64",2020-09-06,0.369779604346257
"25 to 64",2020-09-07,0.396621619017892
"25 to 64",2020-09-08,0.437249922608473
"25 to 64",2020-09-09,0.46637466618883
"25 to 64",2020-09-10,0.483809275165733
"25 to 64",2020-09-11,0.522792125717236
"25 to 64",2020-09-12,0.53504760381704
"25 to 64",2020-09-13,0.387344590749754
"25 to 64",2020-09-14,0.424173965875796
"25 to 64",2020-09-15,0.476800364542992
"25 to 64",2020-09-16,0.488302800609884
"25 to 64",2020-09-17,0.503142224431574
"25 to 64",2020-09-18,0.546424158230669
"25 to 64",2020-09-19,0.551417838457873
"25 to 64",2020-09-20,0.408125179028117
"25 to 64",2020-09-21,0.425116954331935
"25 to 64",2020-09-22,0.459234254196162
"25 to 64",2020-09-23,0.485401902868175
"25 to 64",2020-09-24,0.496512082711953
"25 to 64",2020-09-25,0.514324336648645
"25 to 64",2020-09-26,0.527026020251532
"25 to 64",2020-09-27,0.403074177690945
"25 to 64",2020-09-28,0.431504324291691
"25 to 64",2020-09-29,0.467391834904927
"25 to 64",2020-09-30,0.499793997243449
"25 to 64",2020-10-01,0.499995183100003
"25 to 64",2020-10-02,0.521279297991417
"25 to 64",2020-10-03,0.523938547916594
"25 to 64",2020-10-04,0.395234672945335
"25 to 64",2020-10-05,0.424361664412357
"25 to 64",2020-10-06,0.474340052587703
"25 to 64",2020-10-07,0.517293794933649
"25 to 64",2020-10-08,0.519132566225952
"25 to 64",2020-10-09,0.552428263513973
"25 to 64",2020-10-10,0.534356378667427
"25 to 64",2020-10-11,0.413558321098407
"25 to 64",2020-10-12,0.417035801769793
"25 to 64",2020-10-13,0.468271882534434
"25 to 64",2020-10-14,0.511801083866725
"25 to 64",2020-10-15,0.525453623529079
"25 to 64",2020-10-16,0.555330285199015
"25 to 64",2020-10-17,0.49247038248755
"25 to 64",2020-10-18,0.375208250643217
"25 to 64",2020-10-19,0.414324850451311
"25 to 64",2020-10-20,0.395485312308528
"25 to 64",2020-10-21,0.305715958325466
"25 to 64",2020-10-22,0.330356168008334
"25 to 64",2020-10-23,0.384371760634752
"25 to 64",2020-10-24,0.377615737261868
"25 to 64",2020-10-25,0.310706266722671
