Borough,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
Hillingdon,2021-01-29,-58.714285714285715,-20.428571428571427,32.0,-74.85714285714286,-49.285714285714285,20.285714285714285
Hillingdon,2021-01-30,-58.857142857142854,-20.428571428571427,21.571428571428573,-74.71428571428571,-49.714285714285715,20.428571428571427
Hillingdon,2021-01-31,-57.285714285714285,-18.142857142857142,15.428571428571429,-74.42857142857143,-48.857142857142854,20.285714285714285
Hillingdon,2021-02-01,-56.714285714285715,-17.857142857142858,16.857142857142858,-74.28571428571429,-48.57142857142857,20.142857142857142
Hillingdon,2021-02-02,-55.857142857142854,-17.428571428571427,24.571428571428573,-74.0,-48.42857142857143,20.0
Hillingdon,2021-02-03,-55.714285714285715,-17.428571428571427,28.285714285714285,-73.85714285714286,-48.285714285714285,19.857142857142858
Hillingdon,2021-02-04,-55.857142857142854,-18.285714285714285,26.142857142857142,-73.85714285714286,-48.142857142857146,19.857142857142858
Hillingdon,2021-02-05,-55.714285714285715,-18.0,28.857142857142858,-73.85714285714286,-48.0,19.857142857142858
Hillingdon,2021-02-06,-55.0,-17.142857142857142,39.714285714285715,-73.85714285714286,-47.142857142857146,19.571428571428573
Hillingdon,2021-02-07,-55.42857142857143,-17.571428571428573,33.857142857142854,-74.0,-47.57142857142857,19.714285714285715
Hillingdon,2021-02-08,-56.0,-18.0,30.285714285714285,-74.14285714285714,-47.714285714285715,19.857142857142858
Hillingdon,2021-02-09,-56.42857142857143,-18.285714285714285,24.0,-74.42857142857143,-47.714285714285715,20.0
Hillingdon,2021-02-10,-56.0,-17.571428571428573,22.428571428571427,-74.42857142857143,-47.57142857142857,20.0
Hillingdon,2021-02-11,-55.714285714285715,-16.285714285714285,22.0,-74.42857142857143,-47.57142857142857,20.0
Hillingdon,2021-02-12,-55.42857142857143,-15.714285714285714,18.142857142857142,-74.42857142857143,-47.57142857142857,20.0
Hillingdon,2021-02-13,-55.285714285714285,-14.714285714285714,13.714285714285714,-74.28571428571429,-47.857142857142854,20.0
Hillingdon,2021-02-14,-54.42857142857143,-13.285714285714286,17.0,-74.0,-47.285714285714285,19.857142857142858
Hillingdon,2021-02-15,-53.0,-11.857142857142858,25.0,-74.0,-47.57142857142857,19.714285714285715
Hillingdon,2021-02-16,-52.142857142857146,-10.714285714285714,28.428571428571427,-73.85714285714286,-47.857142857142854,19.571428571428573
Hillingdon,2021-02-17,-52.285714285714285,-11.0,24.571428571428573,-74.0,-48.285714285714285,19.714285714285715
Hillingdon,2021-02-18,-51.57142857142857,-10.714285714285714,30.714285714285715,-74.0,-48.57142857142857,19.571428571428573
Hillingdon,2021-02-19,-51.285714285714285,-11.0,33.57142857142857,-74.14285714285714,-48.857142857142854,19.428571428571427
Hillingdon,2021-02-20,-50.857142857142854,-11.857142857142858,46.57142857142857,-74.14285714285714,-48.285714285714285,19.285714285714285
Hillingdon,2021-02-21,-50.57142857142857,-12.428571428571429,57.714285714285715,-74.28571428571429,-47.857142857142854,19.142857142857142
Hillingdon,2021-02-22,-50.714285714285715,-12.857142857142858,52.42857142857143,-74.14285714285714,-47.142857142857146,19.142857142857142
Hillingdon,2021-02-23,-50.0,-12.571428571428571,61.42857142857143,-74.0,-46.42857142857143,19.0
Hillingdon,2021-02-24,-49.57142857142857,-11.857142857142858,70.71428571428571,-73.71428571428571,-45.714285714285715,18.714285714285715
Hillingdon,2021-02-25,-49.42857142857143,-11.714285714285714,70.0,-73.42857142857143,-45.142857142857146,18.571428571428573
Hillingdon,2021-02-26,-48.57142857142857,-10.714285714285714,81.42857142857143,-73.0,-44.42857142857143,18.285714285714285
Hillingdon,2021-02-27,-47.857142857142854,-10.0,89.0,-72.71428571428571,-44.142857142857146,18.0
Hillingdon,2021-02-28,-47.142857142857146,-9.142857142857142,92.85714285714286,-72.42857142857143,-43.857142857142854,17.857142857142858
Hillingdon,2021-03-01,-46.57142857142857,-8.285714285714286,101.71428571428571,-72.14285714285714,-43.57142857142857,17.571428571428573
Hillingdon,2021-03-02,-46.857142857142854,-8.285714285714286,98.71428571428571,-71.85714285714286,-43.42857142857143,17.428571428571427
Hillingdon,2021-03-03,-46.714285714285715,-8.571428571428571,90.85714285714286,-71.71428571428571,-43.285714285714285,17.428571428571427
Hillingdon,2021-03-04,-46.857142857142854,-8.714285714285714,86.57142857142857,-71.85714285714286,-43.0,17.428571428571427
Hillingdon,2021-03-05,-47.285714285714285,-8.857142857142858,77.42857142857143,-71.85714285714286,-42.857142857142854,17.428571428571427
Hillingdon,2021-03-06,-47.57142857142857,-8.714285714285714,65.0,-72.0,-42.714285714285715,17.571428571428573
Hillingdon,2021-03-07,-47.57142857142857,-8.142857142857142,64.42857142857143,-72.0,-42.857142857142854,17.571428571428573
Hillingdon,2021-03-08,-47.285714285714285,-7.142857142857143,64.71428571428571,-72.0,-42.57142857142857,17.285714285714285
Hillingdon,2021-03-09,-46.57142857142857,-6.285714285714286,71.14285714285714,-71.85714285714286,-41.857142857142854,16.857142857142858
Hillingdon,2021-03-10,-46.857142857142854,-6.0,68.42857142857143,-71.71428571428571,-41.285714285714285,16.571428571428573
Hillingdon,2021-03-11,-46.57142857142857,-5.0,71.71428571428571,-71.28571428571429,-40.714285714285715,16.142857142857142
Hillingdon,2021-03-12,-46.42857142857143,-4.428571428571429,71.42857142857143,-71.0,-40.0,15.714285714285714
Hillingdon,2021-03-13,-46.285714285714285,-3.2857142857142856,66.14285714285714,-71.0,-39.857142857142854,15.714285714285714
Hillingdon,2021-03-14,-46.42857142857143,-2.857142857142857,57.714285714285715,-71.0,-38.57142857142857,15.571428571428571
Hillingdon,2021-03-15,-46.42857142857143,-3.142857142857143,55.857142857142854,-70.71428571428571,-38.0,15.428571428571429
Hillingdon,2021-03-16,-46.57142857142857,-3.4285714285714284,49.57142857142857,-70.57142857142857,-37.857142857142854,15.428571428571429
Hillingdon,2021-03-17,-45.857142857142854,-2.4285714285714284,58.857142857142854,-70.28571428571429,-37.42857142857143,15.142857142857142
Hillingdon,2021-03-18,-45.57142857142857,-2.142857142857143,60.142857142857146,-70.0,-37.142857142857146,15.0
Hillingdon,2021-03-19,-45.142857142857146,-2.0,68.42857142857143,-70.0,-36.857142857142854,15.0
Hillingdon,2021-03-20,-45.285714285714285,-3.4285714285714284,74.0,-69.85714285714286,-36.714285714285715,15.0
Hillingdon,2021-03-21,-45.0,-3.7142857142857144,84.28571428571429,-69.85714285714286,-37.142857142857146,15.0
Hillingdon,2021-03-22,-44.42857142857143,-3.2857142857142856,93.85714285714286,-69.71428571428571,-36.857142857142854,14.857142857142858
Hillingdon,2021-03-23,-44.285714285714285,-3.0,99.14285714285714,-69.57142857142857,-36.57142857142857,14.714285714285714
Hillingdon,2021-03-24,-43.857142857142854,-2.7142857142857144,102.0,-69.57142857142857,-36.42857142857143,14.714285714285714
Hillingdon,2021-03-25,-43.714285714285715,-2.5714285714285716,103.85714285714286,-69.57142857142857,-36.142857142857146,14.714285714285714
Hillingdon,2021-03-26,-44.0,-2.5714285714285716,93.0,-69.42857142857143,-36.0,14.714285714285714
Hillingdon,2021-03-27,-43.57142857142857,-1.5714285714285714,96.42857142857143,-69.14285714285714,-35.714285714285715,14.571428571428571
Hillingdon,2021-03-28,-44.142857142857146,-2.2857142857142856,87.0,-69.0,-36.142857142857146,14.714285714285714
Hillingdon,2021-03-29,-43.714285714285715,-1.7142857142857142,91.71428571428571,-68.85714285714286,-36.0,14.571428571428571
Hillingdon,2021-03-30,-42.857142857142854,-0.42857142857142855,107.14285714285714,-68.57142857142857,-35.857142857142854,14.285714285714286
Hillingdon,2021-03-31,-41.857142857142854,0.5714285714285714,116.57142857142857,-68.28571428571429,-35.714285714285715,14.0
Hillingdon,2021-04-01,-40.142857142857146,3.142857142857143,125.0,-68.14285714285714,-36.57142857142857,13.857142857142858
Hillingdon,2021-04-02,-39.857142857142854,3.857142857142857,139.71428571428572,-68.85714285714286,-41.0,14.857142857142858
Hillingdon,2021-04-03,-40.0,4.714285714285714,138.85714285714286,-69.28571428571429,-42.285714285714285,14.714285714285714
Hillingdon,2021-04-04,-41.42857142857143,0.42857142857142855,162.71428571428572,-69.57142857142857,-42.42857142857143,14.142857142857142
Hillingdon,2021-04-05,-42.42857142857143,-0.7142857142857143,156.14285714285714,-70.71428571428571,-47.42857142857143,15.714285714285714
Hillingdon,2021-04-06,-42.714285714285715,-1.5714285714285714,136.71428571428572,-71.14285714285714,-48.857142857142854,16.285714285714285
Hillingdon,2021-04-07,-43.57142857142857,-2.857142857142857,127.14285714285714,-71.42857142857143,-50.285714285714285,16.714285714285715
Hillingdon,2021-04-08,-44.714285714285715,-5.714285714285714,122.14285714285714,-71.42857142857143,-50.714285714285715,17.0
Hillingdon,2021-04-09,-44.57142857142857,-6.428571428571429,119.28571428571429,-70.85714285714286,-47.57142857142857,16.142857142857142
Hillingdon,2021-04-10,-44.857142857142854,-7.857142857142857,113.42857142857143,-70.71428571428571,-46.42857142857143,16.142857142857142
Hillingdon,2021-04-11,-42.714285714285715,-2.857142857142857,98.57142857142857,-70.57142857142857,-45.57142857142857,16.428571428571427
Hillingdon,2021-04-12,-38.857142857142854,-2.142857142857143,93.71428571428571,-69.42857142857143,-41.714285714285715,14.857142857142858
Hillingdon,2021-04-13,-36.42857142857143,-2.142857142857143,97.42857142857143,-69.28571428571429,-41.285714285714285,14.428571428571429
Hillingdon,2021-04-14,-33.57142857142857,-1.7142857142857142,101.71428571428571,-69.14285714285714,-41.0,14.0
Hillingdon,2021-04-15,-31.142857142857142,-1.1428571428571428,99.85714285714286,-69.14285714285714,-40.714285714285715,13.571428571428571
Hillingdon,2021-04-16,-28.857142857142858,-1.2857142857142858,99.42857142857143,-68.85714285714286,-40.42857142857143,13.0
Hillingdon,2021-04-17,-25.857142857142858,-0.8571428571428571,113.14285714285714,-68.28571428571429,-39.714285714285715,12.428571428571429
Hillingdon,2021-04-18,-22.857142857142858,-0.42857142857142855,122.0,-67.85714285714286,-39.42857142857143,11.857142857142858
Hillingdon,2021-04-19,-23.714285714285715,-0.14285714285714285,131.42857142857142,-67.57142857142857,-38.0,11.571428571428571
Hillingdon,2021-04-20,-24.0,0.14285714285714285,135.0,-67.14285714285714,-36.42857142857143,11.142857142857142
Hillingdon,2021-04-21,-24.571428571428573,0.2857142857142857,134.0,-66.85714285714286,-34.714285714285715,10.857142857142858
Hillingdon,2021-04-22,-24.714285714285715,0.42857142857142855,140.57142857142858,-66.42857142857143,-32.857142857142854,10.428571428571429
Hillingdon,2021-04-23,-24.714285714285715,1.1428571428571428,143.85714285714286,-66.0,-31.0,10.0
Hillingdon,2021-04-24,-24.714285714285715,1.2857142857142858,144.85714285714286,-66.0,-30.714285714285715,9.857142857142858
Hillingdon,2021-04-25,-25.142857142857142,1.1428571428571428,136.14285714285714,-66.28571428571429,-30.714285714285715,10.0
Hillingdon,2021-04-26,-25.571428571428573,1.1428571428571428,130.71428571428572,-66.42857142857143,-30.285714285714285,10.0
Hillingdon,2021-04-27,-26.142857142857142,1.0,127.57142857142857,-66.57142857142857,-30.0,10.0
Hillingdon,2021-04-28,-27.142857142857142,0.2857142857142857,118.0,-66.71428571428571,-29.857142857142858,10.142857142857142
Hillingdon,2021-04-29,-27.571428571428573,0.5714285714285714,111.85714285714286,-66.85714285714286,-29.857142857142858,10.285714285714286
Hillingdon,2021-04-30,-27.571428571428573,0.7142857142857143,105.42857142857143,-66.85714285714286,-29.857142857142858,10.285714285714286
Hillingdon,2021-05-01,-27.428571428571427,1.0,97.42857142857143,-66.57142857142857,-30.285714285714285,10.285714285714286
Hillingdon,2021-05-02,-27.428571428571427,1.0,96.28571428571429,-66.42857142857143,-30.142857142857142,10.142857142857142
